repeat,pollutant,model,rmse,mae,pcc,ktc
0,CO,RF,0.079733051187748,0.0584151186822606,0.936769040372414,0.78406119403786
0,CO,SVR,0.152550470975132,0.126624104878066,0.903428714405109,0.703315251740326
0,CO,ANN,0.200064955372473,0.163655798945861,0.801875769759776,0.617073157067918
1,CO,RF,0.0774080302471676,0.0569064042473845,0.939438858343595,0.784694495546076
1,CO,SVR,0.152550470975132,0.126624104878066,0.903428714405109,0.703315251740326
1,CO,ANN,0.345861149755461,0.253156718358845,0.699879718398726,0.555823854059033
2,CO,RF,0.0769068121661278,0.0565784901682713,0.938280424564061,0.779183264563864
2,CO,SVR,0.152550470975132,0.126624104878066,0.903428714405109,0.703315251740326
2,CO,ANN,0.135342351489966,0.105010005879381,0.800763138543262,0.591688321613596
3,CO,RF,0.0779582244833234,0.0579706693825493,0.938696786564027,0.77595644259343
3,CO,SVR,0.152550470975132,0.126624104878066,0.903428714405109,0.703315251740326
3,CO,ANN,0.139487016168955,0.109323671722493,0.80545477460736,0.602341357698228
4,CO,RF,0.0794671666606774,0.0577563323869678,0.936315204316984,0.782244221853574
4,CO,SVR,0.152550470975132,0.126624104878066,0.903428714405109,0.703315251740326
4,CO,ANN,0.235627229171681,0.204348500607195,0.727489426008051,0.536395068503408
0,CO,RNN,0.208204820307281,0.167426372443964,0.636156994406437,0.460428913632304
0,CO,LSTM,0.145173231786344,0.116779577271682,0.809221970975718,0.58786529241223
0,CO,GRU,0.145623771106343,0.114922067846568,0.752775448597604,0.530281746166826
1,CO,RNN,0.216158879865077,0.172981875152688,0.570829333820883,0.389496627161564
1,CO,LSTM,0.118356889943756,0.0858477763589889,0.843626594974522,0.649705840096237
1,CO,GRU,0.139958483705935,0.10790616439185,0.802640950580025,0.6069077720617
2,CO,RNN,0.171929463775363,0.135302650153325,0.694829868560516,0.505355482386143
2,CO,LSTM,0.163604285077188,0.136565185980361,0.801489037033307,0.600788332493706
2,CO,GRU,0.188976162300579,0.155233135131703,0.780915231969153,0.575223518497232
3,CO,RNN,0.154051805471664,0.115833347519589,0.684122927060773,0.472211685471297
3,CO,LSTM,0.130524534821051,0.101880497513958,0.842891693398152,0.648527562912337
3,CO,GRU,0.154379339976265,0.118174667815726,0.729779479836246,0.528016413258426
4,CO,RNN,0.262288700811421,0.215968321435366,0.568196029703054,0.387854640892388
4,CO,LSTM,0.132764774316574,0.10418033956635,0.808014041685592,0.601297652308682
4,CO,GRU,0.115353776355254,0.0838896788288911,0.842919816328571,0.654274514854453
