repeat,pollutant,model,rmse,mae,pcc,ktc
0,CO,RNN,0.20820482030728077,0.16742637244396422,0.6361569944064369,0.46042891363230376
0,CO,LSTM,0.14517323178634362,0.11677957727168169,0.8092219709757178,0.5878652924122296
0,CO,GRU,0.14562377110634267,0.11492206784656808,0.7527754485976037,0.5302817461668264
1,CO,RNN,0.21615887986507726,0.17298187515268829,0.5708293338208831,0.3894966271615636
1,CO,LSTM,0.11835688994375596,0.08584777635898892,0.8436265949745222,0.6497058400962368
1,CO,GRU,0.13995848370593517,0.10790616439185016,0.802640950580025,0.6069077720616995
2,CO,RNN,0.17192946377536256,0.13530265015332493,0.6948298685605164,0.505355482386143
2,CO,LSTM,0.16360428507718808,0.13656518598036124,0.8014890370333071,0.6007883324937062
2,CO,GRU,0.18897616230057868,0.1552331351317032,0.7809152319691531,0.5752235184972321
3,CO,RNN,0.15405180547166417,0.1158333475195888,0.6841229270607733,0.4722116854712971
3,CO,LSTM,0.13052453482105053,0.10188049751395792,0.8428916933981522,0.6485275629123375
3,CO,GRU,0.15437933997626538,0.1181746678157257,0.7297794798362459,0.5280164132584264
4,CO,RNN,0.26228870081142125,0.21596832143536637,0.5681960297030545,0.3878546408923877
4,CO,LSTM,0.1327647743165743,0.1041803395663505,0.808014041685592,0.601297652308682
4,CO,GRU,0.11535377635525415,0.08388967882889112,0.8429198163285709,0.654274514854453
