repeat,pollutant,model,rmse,mae,pcc,ktc
0,CO,RF,0.079733051187748,0.05841511868226061,0.9367690403724144,0.7840611940378603
0,CO,SVR,0.1525504709751321,0.12662410487806572,0.9034287144051092,0.7033152517403265
0,CO,ANN,0.2000649553724729,0.16365579894586138,0.8018757697597757,0.6170731570679183
1,CO,RF,0.07740803024716764,0.056906404247384454,0.9394388583435946,0.7846944955460763
1,CO,SVR,0.1525504709751321,0.12662410487806572,0.9034287144051092,0.7033152517403265
1,CO,ANN,0.34586114975546084,0.25315671835884473,0.6998797183987256,0.5558238540590327
2,CO,RF,0.07690681216612778,0.05657849016827134,0.9382804245640605,0.7791832645638636
2,CO,SVR,0.1525504709751321,0.12662410487806572,0.9034287144051092,0.7033152517403265
2,CO,ANN,0.13534235148996643,0.10501000587938132,0.8007631385432621,0.5916883216135956
3,CO,RF,0.07795822448332339,0.05797066938254927,0.9386967865640268,0.7759564425934299
3,CO,SVR,0.1525504709751321,0.12662410487806572,0.9034287144051092,0.7033152517403265
3,CO,ANN,0.13948701616895504,0.10932367172249324,0.8054547746073603,0.6023413576982283
4,CO,RF,0.07946716666067744,0.05775633238696779,0.936315204316984,0.782244221853574
4,CO,SVR,0.1525504709751321,0.12662410487806572,0.9034287144051092,0.7033152517403265
4,CO,ANN,0.23562722917168072,0.2043485006071952,0.7274894260080509,0.5363950685034076
