repeat,pollutant,model,rmse,mae,pcc,ktc
0,NO2,RF,5.98194631238843,4.17048080438735,0.931930688589624,0.791847940630253
0,NO2,SVR,6.65855265769012,5.089737633487,0.922314903779916,0.749383172317719
0,NO2,ANN,9.70595116701159,7.1407079565153,0.84521062263881,0.607161161977578
1,NO2,RF,5.97675426807716,4.14896425298484,0.93167741539809,0.791148670493369
1,NO2,SVR,6.65855265769012,5.089737633487,0.922314903779916,0.749383172317719
1,NO2,ANN,8.8023082553823,6.73927318021301,0.89644658601542,0.714960010579341
2,NO2,RF,6.00144690331699,4.1738825108958,0.931575165248665,0.790997691713815
2,NO2,SVR,6.65855265769012,5.089737633487,0.922314903779916,0.749383172317719
2,NO2,ANN,8.59893169278234,6.2342521101823,0.853256038228521,0.667846685106847
3,NO2,RF,5.97822535550873,4.15832823140276,0.932166502993009,0.792634619534246
3,NO2,SVR,6.65855265769012,5.089737633487,0.922314903779916,0.749383172317719
3,NO2,ANN,15.3104170631505,11.5110876468219,0.701274589544985,0.431819175154159
4,NO2,RF,5.99279157380326,4.21357993660006,0.932038447526234,0.791538036819588
4,NO2,SVR,6.65855265769012,5.089737633487,0.922314903779916,0.749383172317719
4,NO2,ANN,9.26511046737113,6.90175672481721,0.859298773352121,0.642410733877727
0,NO2,RNN,11.1841162149768,8.76056558767628,0.709767987828524,0.475920322802414
0,NO2,LSTM,10.9972762111934,9.11341288215293,0.848359497478846,0.652830307695789
0,NO2,GRU,12.9926653873844,10.6244869368106,0.787767749861164,0.545023323315281
1,NO2,RNN,20.7688906244108,17.2385543765366,0.604615587753941,0.429730837168842
1,NO2,LSTM,11.3253054468646,9.6585387463745,0.858923088399914,0.429730837168842
1,NO2,GRU,12.3643542087507,10.1138294311663,0.791316266929805,0.565462682874047
2,NO2,RNN,12.012188305822,9.58426208947814,0.716148668883741,0.545464573945694
2,NO2,LSTM,11.3389609778739,9.46715210900999,0.79520718833763,0.611975227004886
2,NO2,GRU,11.2838914511031,9.21988718943768,0.739433134461965,0.506051437279176
3,NO2,RNN,16.8231458761558,14.5367671688588,0.677209180364691,0.460339566711153
3,NO2,LSTM,10.8738392585092,8.6877165049026,0.850249702644015,0.646881303660758
3,NO2,GRU,11.0014313662642,9.06404925530073,0.789325695546342,0.571277735824845
4,NO2,RNN,15.0644646959136,12.645365473121,0.691149471219689,0.479670953160923
4,NO2,LSTM,13.0558669370832,11.1976777261591,0.795241483599731,0.593324508394401
4,NO2,GRU,9.85058121576448,7.69886694550203,0.797945098271319,0.57836138433808
