repeat,pollutant,model,rmse,mae,pcc,ktc
0,NO2,RNN,11.18411621497678,8.760565587676279,0.7097679878285241,0.4759203228024143
0,NO2,LSTM,10.997276211193434,9.113412882152927,0.8483594974788462,0.6528303076957886
0,NO2,GRU,12.992665387384427,10.624486936810642,0.7877677498611639,0.5450233233152815
1,NO2,RNN,20.768890624410826,17.238554376536605,0.6046155877539405,0.4297308371688422
1,NO2,LSTM,11.325305446864608,9.658538746374502,0.858923088399914,0.6629475542931115
1,NO2,GRU,12.364354208750676,10.113829431166328,0.7913162669298054,0.5654626828740473
2,NO2,RNN,12.01218830582195,9.58426208947814,0.716148668883741,0.5454645739456943
2,NO2,LSTM,11.338960977873866,9.46715210900999,0.7952071883376305,0.6119752270048859
2,NO2,GRU,11.283891451103079,9.219887189437683,0.7394331344619655,0.5060514372791765
3,NO2,RNN,16.82314587615581,14.53676716885883,0.6772091803646914,0.46033956671115334
3,NO2,LSTM,10.873839258509223,8.687716504902603,0.8502497026440148,0.6468813036607584
3,NO2,GRU,11.001431366264153,9.064049255300734,0.7893256955463421,0.5712777358248451
4,NO2,RNN,15.064464695913557,12.645365473121,0.6911494712196892,0.4796709531609234
4,NO2,LSTM,13.055866937083174,11.197677726159089,0.7952414835997307,0.5933245083944007
4,NO2,GRU,9.850581215764482,7.6988669455020275,0.7979450982713191,0.5783613843380797
