repeat,pollutant,model,rmse,mae,pcc,ktc
0,NO2,RF,5.981946312388426,4.170480804387348,0.9319306885896236,0.7918479406302525
0,NO2,SVR,6.658552657690118,5.089737633486997,0.9223149037799164,0.7493831723177194
0,NO2,ANN,9.705951167011595,7.140707956515302,0.84521062263881,0.6071611619775782
1,NO2,RF,5.976754268077157,4.148964252984844,0.9316774153980899,0.7911486704933695
1,NO2,SVR,6.658552657690118,5.089737633486997,0.9223149037799164,0.7493831723177194
1,NO2,ANN,8.802308255382298,6.739273180213006,0.8964465860154202,0.7149600105793413
2,NO2,RF,6.0014469033169915,4.173882510895804,0.9315751652486655,0.7909976917138153
2,NO2,SVR,6.658552657690118,5.089737633486997,0.9223149037799164,0.7493831723177194
2,NO2,ANN,8.598931692782335,6.234252110182303,0.8532560382285209,0.6678466851068473
3,NO2,RF,5.9782253555087275,4.158328231402764,0.932166502993009,0.792634619534246
3,NO2,SVR,6.658552657690118,5.089737633486997,0.9223149037799164,0.7493831723177194
3,NO2,ANN,15.310417063150533,11.511087646821922,0.701274589544985,0.43181917515415874
4,NO2,RF,5.9927915738032596,4.213579936600056,0.9320384475262344,0.7915380368195885
4,NO2,SVR,6.658552657690118,5.089737633486997,0.9223149037799164,0.7493831723177194
4,NO2,ANN,9.26511046737113,6.901756724817214,0.8592987733521208,0.6424107338777272
