repeat,pollutant,model,rmse,mae,pcc,ktc
0,O3,RF,6.36846563396579,4.74079065039258,0.948515414059882,0.807628314717956
0,O3,SVR,7.53604203876268,5.81230642183911,0.930123414670877,0.733154075633576
0,O3,ANN,21.4231918038284,17.1014760763555,0.679518601204566,0.474435046101096
1,O3,RF,6.44201108646733,4.7420073727223,0.947269244727401,0.807861965301057
1,O3,SVR,7.53604203876268,5.81230642183911,0.930123414670877,0.733154075633576
1,O3,ANN,16.0326019483582,13.0217028208235,0.765708809006857,0.558104566197818
2,O3,RF,6.36919928045364,4.65901003681162,0.947716067098408,0.807658463180292
2,O3,SVR,7.53604203876268,5.81230642183911,0.930123414670877,0.733154075633576
2,O3,ANN,10.505046140532,8.02637810088118,0.87704260795446,0.683032257000733
3,O3,RF,6.42730410920222,4.70141357151796,0.947428439810959,0.809859300930787
3,O3,SVR,7.53604203876268,5.81230642183911,0.930123414670877,0.733154075633576
3,O3,ANN,11.515721959155,9.0213889738187,0.813927884156916,0.594463611774485
4,O3,RF,6.42414493223462,4.75085926783118,0.94693667137763,0.806105817370011
4,O3,SVR,7.53604203876268,5.81230642183911,0.930123414670877,0.733154075633576
4,O3,ANN,24.0410486711938,18.0819087049602,0.656986373261799,0.472166374310347
0,O3,RNN,14.3937907010057,11.5434790882233,0.715576073421587,0.477998271117521
0,O3,LSTM,13.2455732766972,11.1037954252438,0.849645496616638,0.609387379027961
0,O3,GRU,15.9132102515911,11.7590931393916,0.652189359949644,0.454348383685207
1,O3,RNN,13.0537811910004,10.504389589243,0.78483211951993,0.55521758544906
1,O3,LSTM,12.1594864065619,10.1767269393795,0.820442621648663,0.57895866782006
1,O3,GRU,15.2218727437931,10.9904242121781,0.683852088534614,0.506694278490407
2,O3,RNN,17.7750620673146,14.7456736045932,0.724595416351045,0.481167295236826
2,O3,LSTM,11.9985277939769,10.2803536418924,0.865084881655496,0.652530184604198
2,O3,GRU,12.8845957650238,9.40127167558503,0.779711962471095,0.585790688643213
3,O3,RNN,19.6244876924099,16.3682802499365,0.652533108910605,0.408568524465328
3,O3,LSTM,10.0939308379926,8.47984369956243,0.884100730799221,0.687511043168126
3,O3,GRU,14.1572958449811,10.620376460634,0.71882495533406,0.487984116903531
4,O3,RNN,17.750352244556,14.1561920689248,0.678636024436203,0.467450056542954
4,O3,LSTM,10.51256482837,8.50592618216755,0.849606677513105,0.626562425813639
4,O3,GRU,13.4478636478288,10.3259651334162,0.75994395961238,0.528611462087707
