repeat,pollutant,model,rmse,mae,pcc,ktc
0,O3,RNN,14.393790701005653,11.543479088223311,0.7155760734215872,0.47799827111752147
0,O3,LSTM,13.24557327669716,11.103795425243758,0.8496454966166376,0.6093873790279611
0,O3,GRU,15.913210251591112,11.759093139391648,0.6521893599496444,0.4543483836852068
1,O3,RNN,13.05378119100039,10.504389589242994,0.7848321195199296,0.5552175854490604
1,O3,LSTM,12.159486406561937,10.176726939379483,0.8204426216486633,0.57895866782006
1,O3,GRU,15.221872743793083,10.990424212178128,0.683852088534614,0.5066942784904072
2,O3,RNN,17.775062067314572,14.745673604593179,0.7245954163510447,0.48116729523682583
2,O3,LSTM,11.998527793976915,10.28035364189241,0.8650848816554959,0.6525301846041983
2,O3,GRU,12.88459576502382,9.40127167558503,0.779711962471095,0.5857906886432126
3,O3,RNN,19.624487692409932,16.368280249936486,0.6525331089106055,0.4085685244653278
3,O3,LSTM,10.093930837992614,8.479843699562428,0.8841007307992212,0.6875110431681264
3,O3,GRU,14.157295844981096,10.620376460634033,0.7188249553340598,0.48798411690353094
4,O3,RNN,17.75035224455603,14.156192068924838,0.6786360244362026,0.4674500565429544
4,O3,LSTM,10.512564828369973,8.505926182167554,0.8496066775131048,0.6265624258136394
4,O3,GRU,13.447863647828829,10.325965133416174,0.7599439596123798,0.5286114620877065
