repeat,pollutant,model,rmse,mae,pcc,ktc
0,O3,RF,6.368465633965791,4.740790650392576,0.9485154140598825,0.8076283147179564
0,O3,SVR,7.536042038762681,5.812306421839105,0.9301234146708771,0.7331540756335763
0,O3,ANN,21.423191803828416,17.10147607635547,0.6795186012045662,0.4744350461010965
1,O3,RF,6.4420110864673275,4.742007372722297,0.9472692447274008,0.8078619653010569
1,O3,SVR,7.536042038762681,5.812306421839105,0.9301234146708771,0.7331540756335763
1,O3,ANN,16.032601948358174,13.021702820823476,0.7657088090068572,0.5581045661978178
2,O3,RF,6.369199280453643,4.659010036811618,0.9477160670984079,0.8076584631802919
2,O3,SVR,7.536042038762681,5.812306421839105,0.9301234146708771,0.7331540756335763
2,O3,ANN,10.50504614053201,8.02637810088118,0.8770426079544603,0.6830322570007327
3,O3,RF,6.427304109202219,4.701413571517964,0.9474284398109591,0.8098593009307868
3,O3,SVR,7.536042038762681,5.812306421839105,0.9301234146708771,0.7331540756335763
3,O3,ANN,11.515721959154966,9.021388973818699,0.8139278841569156,0.5944636117744853
4,O3,RF,6.424144932234624,4.750859267831179,0.9469366713776298,0.8061058173700114
4,O3,SVR,7.536042038762681,5.812306421839105,0.9301234146708771,0.7331540756335763
4,O3,ANN,24.04104867119378,18.08190870496015,0.6569863732617987,0.47216637431034675
