repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM25,RF,4.53550028485449,3.3443298778113,0.940839466354074,0.829871285540825
0,PM25,SVR,5.01899933991169,3.8669785240943,0.923649054793313,0.756160415483065
0,PM25,ANN,7.45464657586522,5.77702704729285,0.805377485194612,0.611830384495287
1,PM25,RF,4.44586966865531,3.28671770691873,0.942492193013363,0.831085346930011
1,PM25,SVR,5.01899933991169,3.8669785240943,0.923649054793313,0.756160415483065
1,PM25,ANN,8.34063501215596,6.85823449613609,0.732557641494337,0.504246447603823
2,PM25,RF,4.5766591378249,3.42409829720428,0.942658698347709,0.829705388953482
2,PM25,SVR,5.01899933991169,3.8669785240943,0.923649054793313,0.756160415483065
2,PM25,ANN,16.8320471348237,14.3057626098777,0.810269067803113,0.613527054138561
3,PM25,RF,4.50105781222256,3.35566633880215,0.943006467788038,0.831477466136457
3,PM25,SVR,5.01899933991169,3.8669785240943,0.923649054793313,0.756160415483065
3,PM25,ANN,7.31421906674381,5.53917362405219,0.786892446738893,0.621324193743647
4,PM25,RF,4.52546441102144,3.32627292098311,0.940555410115006,0.827835281968897
4,PM25,SVR,5.01899933991169,3.8669785240943,0.923649054793313,0.756160415483065
4,PM25,ANN,15.3308026868744,11.4404003783308,0.655574713786538,0.468789822436398
0,PM25,RNN,17.9794748746012,15.5444297811816,0.651330802663232,0.437384459884486
0,PM25,LSTM,9.33293096853441,7.98475827568743,0.838804960928648,0.655582478689287
0,PM25,GRU,11.359485482423,9.09586680312861,0.815275686070687,0.628811441536464
1,PM25,RNN,13.0616783450238,11.375231399665,0.774709788464153,0.577960917117811
1,PM25,LSTM,7.9787707272343,6.72250938391187,0.81251021641526,0.622234631784351
1,PM25,GRU,13.0421576127132,11.0190534668778,0.754416134282467,0.552908214073633
2,PM25,RNN,15.6225082487146,12.8322685893157,0.680480896642119,0.476138216308211
2,PM25,LSTM,12.3765142913637,10.9403433416672,0.826558285524805,0.62361081972092
2,PM25,GRU,17.5270375245019,14.6302274939864,0.688978702716579,0.518518722155934
3,PM25,RNN,15.9905747650505,14.3440915936331,0.697381878863243,0.509022265068779
3,PM25,LSTM,9.20194101960973,8.05241000331174,0.869716619073996,0.690450975247891
3,PM25,GRU,17.3780502681031,13.9355090153184,0.710082331452087,0.528296499429019
4,PM25,RNN,11.13600262324,9.32930213001314,0.761911221451034,0.559272132874233
4,PM25,LSTM,11.2101331300577,9.92127878989566,0.86251211682875,0.66188557150374
4,PM25,GRU,16.0293966050791,12.6848130991746,0.690298159390723,0.506117824230273
