repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM25,RNN,17.979474874601163,15.544429781181595,0.6513308026632321,0.4373844598844858
0,PM25,LSTM,9.332930968534411,7.984758275687434,0.8388049609286481,0.6555824786892867
0,PM25,GRU,11.359485482423,9.09586680312861,0.8152756860706867,0.6288114415364642
1,PM25,RNN,13.061678345023756,11.375231399664969,0.7747097884641535,0.5779609171178108
1,PM25,LSTM,7.9787707272342985,6.722509383911872,0.8125102164152603,0.6222346317843506
1,PM25,GRU,13.04215761271319,11.019053466877848,0.754416134282467,0.5529082140736329
2,PM25,RNN,15.622508248714555,12.832268589315683,0.6804808966421193,0.4761382163082112
2,PM25,LSTM,12.37651429136374,10.940343341667162,0.826558285524805,0.62361081972092
2,PM25,GRU,17.52703752450187,14.630227493986446,0.6889787027165792,0.5185187221559344
3,PM25,RNN,15.99057476505054,14.344091593633062,0.6973818788632428,0.5090222650687787
3,PM25,LSTM,9.201941019609727,8.052410003311735,0.8697166190739961,0.6904509752478907
3,PM25,GRU,17.37805026810308,13.935509015318384,0.7100823314520865,0.5282964994290187
4,PM25,RNN,11.136002623239966,9.329302130013135,0.7619112214510335,0.5592721328742329
4,PM25,LSTM,11.210133130057699,9.921278789895664,0.8625121168287502,0.6618855715037401
4,PM25,GRU,16.029396605079093,12.684813099174583,0.6902981593907226,0.506117824230273
