repeat,pollutant,model,rmse,mae,pcc,ktc
0,SO2,RF,0.355866790891815,0.248000302742359,0.985660446877755,0.896895077166782
0,SO2,SVR,0.389256734025239,0.294068893927801,0.985040206334342,0.891550919827595
0,SO2,ANN,1.93460429138276,1.49087128709473,0.75158073783737,0.562730722698237
1,SO2,RF,0.364071531662657,0.24875968647999,0.985118583127077,0.892598646019621
1,SO2,SVR,0.389256734025239,0.294068893927801,0.985040206334342,0.891550919827595
1,SO2,ANN,2.41286066296704,2.03306927613822,0.774512343730628,0.572190408820494
2,SO2,RF,0.361980593315845,0.257243819206366,0.985299694241085,0.890344904066988
2,SO2,SVR,0.389256734025239,0.294068893927801,0.985040206334342,0.891550919827595
2,SO2,ANN,2.68678637712339,2.13062453234311,0.636747673803395,0.464267073443221
3,SO2,RF,0.34279794277688,0.23858916878108,0.98690358579142,0.897256881894964
3,SO2,SVR,0.389256734025239,0.294068893927801,0.985040206334342,0.891550919827595
3,SO2,ANN,2.95738247361593,2.42590267561159,0.625638756126887,0.391491559889124
4,SO2,RF,0.349658677954189,0.249949641684254,0.986142813791241,0.900716639608204
4,SO2,SVR,0.389256734025239,0.294068893927801,0.985040206334342,0.891550919827595
4,SO2,ANN,1.79480980478723,1.37833647352571,0.696085493456217,0.515025261767747
0,SO2,RNN,1.76121703002018,1.41083097051238,0.797220265882748,0.595518620854405
0,SO2,LSTM,0.897736103498386,0.709724052215796,0.922628359204336,0.757635696564875
0,SO2,GRU,1.22921525264658,0.902167499125573,0.845513466741652,0.655954370985653
1,SO2,RNN,1.44682326099221,1.17000862559642,0.776665805579212,0.565376746480595
1,SO2,LSTM,1.475513368737,1.15589216562558,0.84329283924222,0.638877015534834
1,SO2,GRU,1.37220048447626,1.0538634625192,0.846508997470402,0.642327446943232
2,SO2,RNN,1.52546385508904,1.20900369726507,0.725522303399431,0.536078479785932
2,SO2,LSTM,1.24844069510865,0.965882339248835,0.725522303399431,0.668996089701098
2,SO2,GRU,1.03925077598728,0.795034400165822,0.880537908357235,0.690162282371562
3,SO2,RNN,1.86709642154418,1.47188000816173,0.702507643052563,0.486237226093688
3,SO2,LSTM,1.54159195826748,1.24317634027289,0.867452713974799,0.67200571709697
3,SO2,GRU,1.36656892849925,1.08995113589028,0.759468344358667,0.533418455572409
4,SO2,RNN,1.31951360635436,1.03003660760336,0.776912512484374,0.564555939008994
4,SO2,LSTM,2.03047164165788,1.6575504432182,0.783778796595383,0.551993024651983
4,SO2,GRU,2.04315421318646,1.54289063263046,0.605492512620722,0.414241770737386
