repeat,pollutant,model,rmse,mae,pcc,ktc
0,SO2,RNN,1.7612170300201844,1.4108309705123792,0.7972202658827483,0.5955186208544045
0,SO2,LSTM,0.8977361034983863,0.7097240522157958,0.9226283592043362,0.7576356965648746
0,SO2,GRU,1.2292152526465763,0.9021674991255735,0.8455134667416524,0.6559543709856529
1,SO2,RNN,1.4468232609922125,1.1700086255964153,0.7766658055792125,0.5653767464805953
1,SO2,LSTM,1.4755133687370008,1.1558921656255818,0.8432928392422204,0.6388770155348336
1,SO2,GRU,1.37220048447626,1.053863462519201,0.8465089974704018,0.6423274469432323
2,SO2,RNN,1.5254638550890427,1.209003697265068,0.7255223033994306,0.5360784797859321
2,SO2,LSTM,1.248440695108653,0.965882339248835,0.8591426675873106,0.6689960897010983
2,SO2,GRU,1.0392507759872796,0.7950344001658219,0.880537908357235,0.6901622823715619
3,SO2,RNN,1.8670964215441788,1.471880008161728,0.7025076430525631,0.48623722609368775
3,SO2,LSTM,1.5415919582674797,1.2431763402728868,0.8674527139747994,0.6720057170969703
3,SO2,GRU,1.3665689284992453,1.0899511358902796,0.7594683443586672,0.5334184555724087
4,SO2,RNN,1.3195136063543595,1.0300366076033636,0.7769125124843737,0.5645559390089939
4,SO2,LSTM,2.0304716416578765,1.6575504432182027,0.7837787965953825,0.5519930246519826
4,SO2,GRU,2.0431542131864577,1.5428906326304617,0.6054925126207218,0.41424177073738555
