repeat,pollutant,model,rmse,mae,pcc,ktc
0,SO2,RF,0.3558667908918146,0.2480003027423594,0.9856604468777548,0.8968950771667821
0,SO2,SVR,0.38925673402523864,0.29406889392780056,0.9850402063343421,0.8915509198275945
0,SO2,ANN,1.934604291382755,1.490871287094732,0.7515807378373698,0.5627307226982369
1,SO2,RF,0.3640715316626568,0.2487596864799902,0.9851185831270769,0.8925986460196214
1,SO2,SVR,0.38925673402523864,0.29406889392780056,0.9850402063343421,0.8915509198275945
1,SO2,ANN,2.412860662967043,2.0330692761382183,0.774512343730628,0.572190408820494
2,SO2,RF,0.36198059331584526,0.2572438192063661,0.9852996942410854,0.890344904066988
2,SO2,SVR,0.38925673402523864,0.29406889392780056,0.9850402063343421,0.8915509198275945
2,SO2,ANN,2.686786377123389,2.13062453234311,0.6367476738033954,0.4642670734432213
3,SO2,RF,0.3427979427768804,0.23858916878108039,0.9869035857914196,0.8972568818949639
3,SO2,SVR,0.38925673402523864,0.29406889392780056,0.9850402063343421,0.8915509198275945
3,SO2,ANN,2.957382473615926,2.425902675611589,0.6256387561268869,0.3914915598891239
4,SO2,RF,0.3496586779541886,0.24994964168425415,0.9861428137912407,0.9007166396082038
4,SO2,SVR,0.38925673402523864,0.29406889392780056,0.9850402063343421,0.8915509198275945
4,SO2,ANN,1.7948098047872296,1.3783364735257082,0.6960854934562171,0.5150252617677468
