repeat,pollutant,model,rmse,mae,pcc,ktc
0,CO,RNN,0.320383802095332,0.25563153801301,0.423104730884222,0.288351293036431
0,CO,LSTM,0.266635511205818,0.22606717140944,0.785808927910454,0.579514953703174
0,CO,GRU,0.359980960970178,0.283649519099389,0.568586693594988,0.381980332145003
1,CO,RNN,0.359666321775545,0.288400557253958,0.457450573435303,0.293421155764587
1,CO,LSTM,0.293114470174036,0.245170185806373,0.70665702448749,0.502243252811979
1,CO,GRU,0.317054985630731,0.245521974417683,0.617170755812839,0.431614820323195
2,CO,RNN,0.305594523139937,0.243154748776025,0.493346131319358,0.322228921491286
2,CO,LSTM,0.241269311040207,0.187430640659924,0.697853018208669,0.505352059192512
2,CO,GRU,0.462669641958661,0.389971254373029,0.638163836320106,0.445174992897451
3,CO,RNN,0.419025676526777,0.33862280529413,0.429094830402262,0.280917521300096
3,CO,LSTM,0.303431497195686,0.245249997443513,0.66155091783206,0.463196948712228
3,CO,GRU,0.324069814861526,0.262337924210569,0.639594723191355,0.440660002701763
4,CO,RNN,0.547368307362084,0.446045087317532,0.380584061936935,0.254914522210112
4,CO,LSTM,0.359096469959374,0.296306204126944,0.584474640925718,0.407413256715329
4,CO,GRU,0.412442550302215,0.326373302767759,0.566704073299375,0.391311295227243
