repeat,pollutant,model,rmse,mae,pcc,ktc
0,CO,RF,0.11904909060015503,0.09446677809100301,0.8224437490975341,0.5630182473054368
0,CO,SVR,0.2758254176561005,0.2358775733778374,0.7242294798114995,0.5106588317774737
0,CO,ANN,0.3038612644308233,0.24455935566709625,0.340113256832035,0.2203603216425202
1,CO,RF,0.11564695015769749,0.09114401200848962,0.8336400930555384,0.6017186848695835
1,CO,SVR,0.2758254176561005,0.2358775733778374,0.7242294798114995,0.5106588317774737
1,CO,ANN,0.6194670401155317,0.5512293699432326,0.371247991980796,0.24348711214637722
2,CO,RF,0.12092077095661084,0.09578121968319271,0.8147841894944657,0.5723956030377699
2,CO,SVR,0.2758254176561005,0.2358775733778374,0.7242294798114995,0.5106588317774737
2,CO,ANN,0.5620454489039586,0.5053581558382997,0.27965289504142216,0.17797376916429727
3,CO,RF,0.12084420051696894,0.09570233528756064,0.8196826781435226,0.5790894068081172
3,CO,SVR,0.2758254176561005,0.2358775733778374,0.7242294798114995,0.5106588317774737
3,CO,ANN,0.5165441198238556,0.4509925091141277,0.5184800787311238,0.37100859681187565
4,CO,RF,0.12097253910679216,0.0966586148810755,0.8169397982233505,0.5699457311623615
4,CO,SVR,0.2758254176561005,0.2358775733778374,0.7242294798114995,0.5106588317774737
4,CO,ANN,0.883002428062363,0.7854575544397054,0.3550354307841033,0.25360319847498747
