repeat,pollutant,model,rmse,mae,pcc,ktc
0,NO2,RF,6.93400497466569,4.85576291888377,0.937438657350025,0.815053767494489
0,NO2,SVR,12.1935753077067,10.1207932698429,0.921746166958692,0.765942292510842
0,NO2,ANN,11.4720495332844,8.8368287147872,0.86095818259515,0.686501693013046
1,NO2,RF,6.90762672015504,4.82948898314196,0.937770281167786,0.812415796922931
1,NO2,SVR,12.1935753077067,10.1207932698429,0.921746166958692,0.765942292510842
1,NO2,ANN,16.4692995852483,12.8348622349355,0.733613489893469,0.573182014317661
2,NO2,RF,6.95666263138967,4.82878700328186,0.937168172940988,0.81322226221195
2,NO2,SVR,12.1935753077067,10.1207932698429,0.921746166958692,0.765942292510842
2,NO2,ANN,13.9941856797951,10.6546808099881,0.803204519769769,0.590140396563395
3,NO2,RF,6.94024799375666,4.86706431158813,0.937321441969606,0.812807723979276
3,NO2,SVR,12.1935753077067,10.1207932698429,0.921746166958692,0.765942292510842
3,NO2,ANN,13.0391492302415,9.91671421520059,0.84793176140127,0.658109592604299
4,NO2,RF,6.90956488299566,4.81812121272446,0.938094260927987,0.814179468676487
4,NO2,SVR,12.1935753077067,10.1207932698429,0.921746166958692,0.765942292510842
4,NO2,ANN,11.7067360821078,8.58146223352671,0.841754019561209,0.685386208314216
0,NO2,RNN,18.8833099327291,15.7373230587814,0.746420495992743,0.55926391044826
0,NO2,LSTM,9.92807129342451,7.63589949102921,0.872164796184365,0.734045281744047
0,NO2,GRU,12.7165556609084,9.95350412873626,0.820991502597751,0.640662374205344
1,NO2,RNN,22.1850707822636,18.7301908392716,0.674131785957415,0.493854837760629
1,NO2,LSTM,9.91651978345626,7.4396645413934,0.866531908915379,0.732857349130233
1,NO2,GRU,17.3488595841886,13.8543848722005,0.727433816511896,0.53578139219512
2,NO2,RNN,18.5707013633674,15.3102559812231,0.728447140707558,0.529040617537988
2,NO2,LSTM,15.4030234033412,12.7600300553418,0.825829109335117,0.6623514056275
2,NO2,GRU,16.5253364156311,13.2016156204729,0.826566391038543,0.647334753178243
3,NO2,RNN,19.35451618056,16.2502559406982,0.752206925730217,0.553609867218378
3,NO2,LSTM,9.9757606007845,7.96329160446546,0.879616795275058,0.734638044340728
3,NO2,GRU,12.4501373291604,9.7414901351139,0.813451668407208,0.65786768855004
4,NO2,RNN,16.3928189525899,13.2781226525084,0.670073683895374,0.46876122116779
4,NO2,LSTM,12.9909776977211,10.8128484243014,0.87423044454354,0.694831756117443
4,NO2,GRU,16.3116650938013,13.3743899803429,0.788514977039531,0.593568145851068
