repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM10,RF,6.80659111405935,4.84151445635217,0.956665493873104,0.843981976263775
0,PM10,SVR,7.44526643429156,5.63318636815011,0.951535428688506,0.824477119036046
0,PM10,ANN,16.2589683198149,13.1533366605443,0.850086302551309,0.670728947935149
1,PM10,RF,6.7793814496872,4.84062849140705,0.957734008977773,0.845395700411676
1,PM10,SVR,7.44526643429156,5.63318636815011,0.951535428688506,0.824477119036046
1,PM10,ANN,13.6013354701614,9.42365552550626,0.908100311469494,0.756013558162283
2,PM10,RF,6.7554439331138,4.80256510634563,0.957385166635664,0.845569580921845
2,PM10,SVR,7.44526643429156,5.63318636815011,0.951535428688506,0.824477119036046
2,PM10,ANN,22.9558825792656,18.8433866348257,0.778006772650719,0.587735024428946
3,PM10,RF,6.86636509667321,4.88263221720462,0.956682497152061,0.845236939945869
3,PM10,SVR,7.44526643429156,5.63318636815011,0.951535428688506,0.824477119036046
3,PM10,ANN,12.6550330477764,9.90879927718413,0.867822284182774,0.673873917162566
4,PM10,RF,6.83925037638851,4.93938833469087,0.956198499069086,0.838803361069591
4,PM10,SVR,7.44526643429156,5.63318636815011,0.951535428688506,0.824477119036046
4,PM10,ANN,15.2849770351461,11.8162943440122,0.776132392502749,0.640269618566731
0,PM10,RNN,19.8590163967049,17.0313089081418,0.820268817345521,0.597812670279867
0,PM10,LSTM,18.8214390284622,16.0988743247939,0.85416375561819,0.676685569684846
0,PM10,GRU,30.7848514947177,25.4562997223898,0.671935416819503,0.480513339455105
1,PM10,RNN,22.4628188824538,18.8497494640724,0.679243955663804,0.485582487817365
1,PM10,LSTM,17.764531988546,15.0297626209149,0.879092060861603,0.700430527802804
1,PM10,GRU,24.9742992968036,20.4761327887626,0.776042769511165,0.57924357943706
2,PM10,RNN,16.82746218217,14.3816165189233,0.829166716810796,0.643305418288847
2,PM10,LSTM,15.0085895679583,12.7047406683521,0.899815310436994,0.727300825512532
2,PM10,GRU,13.9391458407557,10.5059570360051,0.853736412777341,0.671319132922393
3,PM10,RNN,24.5037636376115,21.5526109105534,0.76466238406104,0.56530151574597
3,PM10,LSTM,16.8506606318206,14.4034969367224,0.875556619339537,0.690048302134535
3,PM10,GRU,26.0881812058328,19.5270588702512,0.696267534161652,0.526036578582053
4,PM10,RNN,22.132860441734,18.4603497970901,0.796486592367804,0.5911046243268
4,PM10,LSTM,15.0144617465762,12.7698887848338,0.890284546965301,0.715262007969404
4,PM10,GRU,25.4898798872066,19.999649314564,0.688067620343604,0.510310784489807
