repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM25,RNN,15.655640146614918,13.167564136057765,0.6268313707138917,0.43537946485459783
0,PM25,LSTM,7.884625222908693,6.6598444275777045,0.8683960937560908,0.7041369139973707
0,PM25,GRU,13.677756397495871,10.76671601878699,0.7434405450394946,0.5643830404431288
1,PM25,RNN,13.244173855222758,10.928442885254364,0.6634683462846478,0.48856074793108145
1,PM25,LSTM,8.46597404204721,7.122342738644143,0.8903592481403524,0.7214711992603275
1,PM25,GRU,11.95814406568438,8.850005266546379,0.7772663879165468,0.5929542001002304
2,PM25,RNN,7.860718323094012,6.040374471460329,0.7683025501321773,0.5825384234290678
2,PM25,LSTM,7.483771483910677,6.154178795496817,0.894697686959503,0.7269299785668201
2,PM25,GRU,11.602744890238098,8.674313071679498,0.729100139681244,0.546531767724961
3,PM25,RNN,8.953797848590787,7.253467053350393,0.7473299710432225,0.5513975320092998
3,PM25,LSTM,13.642423304059232,11.725489866973428,0.8099387357148555,0.6269005087401874
3,PM25,GRU,10.459758491812782,8.081699937388015,0.7254656165004918,0.5431637465093954
4,PM25,RNN,18.09933153793764,14.35817936219923,0.539366799624736,0.362294164752491
4,PM25,LSTM,10.425852770832364,9.154422058802938,0.858659635028952,0.6910829807532932
4,PM25,GRU,13.187930683460076,9.55243110846662,0.6940156995972337,0.5330368745926153
