repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM25,RF,2.0507902132766347,1.2051403461400467,0.9853167213993876,0.9233667254032424
0,PM25,SVR,3.518455647996168,2.4576361225403742,0.9569119277386121,0.8380488871320101
0,PM25,ANN,6.330710925197676,4.329151982004753,0.8810561459512098,0.7326287636790629
1,PM25,RF,2.063987818877285,1.213965253703351,0.9850738902616157,0.9226654828969034
1,PM25,SVR,3.518455647996168,2.4576361225403742,0.9569119277386121,0.8380488871320101
1,PM25,ANN,6.336593728798127,4.880696962786263,0.8783823523865973,0.7188150403283871
2,PM25,RF,2.0303522077184377,1.1946821097007234,0.985551004759522,0.9241886117816396
2,PM25,SVR,3.518455647996168,2.4576361225403742,0.9569119277386121,0.8380488871320101
2,PM25,ANN,8.077225024692266,6.1364931817274995,0.8334679802028241,0.6761598913137729
3,PM25,RF,1.9965266113976285,1.189440317118035,0.9860349626816897,0.923608013147359
3,PM25,SVR,3.518455647996168,2.4576361225403742,0.9569119277386121,0.8380488871320101
3,PM25,ANN,5.951665865394213,4.609831885354129,0.902025160119234,0.7430719988541099
4,PM25,RF,2.037875259465616,1.1914976223274523,0.9854341030751376,0.9240378069415667
4,PM25,SVR,3.518455647996168,2.4576361225403742,0.9569119277386121,0.8380488871320101
4,PM25,ANN,8.016543486131923,5.673002427366703,0.8657820799538379,0.6994894000730475
